0.00	1.00	13.78	12.00
0.00	2.00	0.00	4.76
0.00	3.00	0.00	8.56
0.00	4.00	15.00	7.65
0.00	5.00	15.00	10.59
0.00	6.00	0.00	5.41
0.00	7.00	15.00	11.79
0.00	8.00	0.00	10.53
0.00	9.00	0.00	10.73
0.00	10.00	0.00	10.22
1.00	1.00	13.57	11.90
1.00	2.00	0.24	5.12
1.00	3.00	0.28	8.59
1.00	4.00	14.59	7.69
1.00	5.00	14.86	10.57
1.00	6.00	0.40	5.85
1.00	7.00	14.64	11.85
1.00	8.00	0.28	10.38
1.00	11.00	11.94	12.00
1.00	10.00	0.20	9.71
2.00	1.00	13.28	11.82
2.00	2.00	0.61	5.40
2.00	3.00	0.56	8.63
2.00	4.00	14.14	7.64
2.00	5.00	14.71	10.58
2.00	6.00	0.84	6.27
2.00	7.00	14.28	11.87
2.00	8.00	0.77	10.48
2.00	11.00	11.90	11.89
2.00	10.00	0.53	9.47
3.00	1.00	12.97	11.73
3.00	2.00	1.02	5.61
3.00	3.00	0.83	8.63
3.00	4.00	13.68	7.58
3.00	5.00	14.56	10.60
3.00	6.00	1.30	6.65
3.00	7.00	13.92	11.87
3.00	8.00	1.21	10.55
3.00	11.00	11.91	11.80
3.00	10.00	0.90	9.40
4.00	1.00	12.68	11.65
4.00	2.00	1.45	5.80
4.00	3.00	1.08	8.62
4.00	4.00	13.21	7.52
4.00	5.00	14.40	10.63
4.00	6.00	1.76	7.01
4.00	7.00	13.57	11.88
4.00	8.00	0.69	10.48
4.00	11.00	11.89	11.73
4.00	10.00	1.28	9.39
5.00	1.00	12.43	11.54
5.00	2.00	1.88	5.99
5.00	3.00	1.33	8.62
5.00	4.00	12.75	7.45
5.00	5.00	14.25	10.67
5.00	6.00	2.23	7.34
5.00	7.00	13.22	11.89
5.00	8.00	0.96	10.50
5.00	11.00	11.79	11.68
5.00	10.00	1.69	9.38
6.00	1.00	12.25	11.41
6.00	2.00	2.31	6.19
6.00	3.00	1.57	8.65
6.00	4.00	12.29	7.39
6.00	5.00	14.09	10.70
6.00	6.00	2.70	7.66
6.00	7.00	12.89	11.90
6.00	8.00	1.17	10.50
6.00	11.00	11.67	11.68
6.00	10.00	2.13	9.35
7.00	1.00	12.09	11.22
7.00	2.00	2.75	6.38
7.00	3.00	1.81	8.71
