0.00	1.00	15.00	13.68
0.00	2.00	-2.50	7.75
0.00	3.00	15.00	11.43
0.00	4.00	15.00	5.92
0.00	5.00	15.00	13.09
0.00	6.00	-2.50	3.01
0.00	7.00	-2.50	0.06
0.00	8.00	-2.50	0.40
0.00	9.00	7.09	0.00
0.00	10.00	-2.50	4.82
1.00	1.00	14.44	13.52
1.00	2.00	-2.19	7.53
1.00	3.00	14.67	11.31
1.00	4.00	14.98	6.01
1.00	5.00	14.74	12.66
1.00	6.00	-2.08	3.15
1.00	11.00	10.26	0.00
1.00	8.00	-2.36	0.74
1.00	9.00	6.74	0.21
1.00	10.00	-2.35	4.80
2.00	1.00	13.84	13.35
2.00	2.00	-1.90	7.28
2.00	3.00	14.33	11.20
2.00	4.00	14.97	6.15
2.00	5.00	14.49	12.24
2.00	6.00	-1.65	3.40
2.00	11.00	9.97	0.29
2.00	8.00	-2.14	0.96
2.00	9.00	6.37	0.39
2.00	10.00	-2.20	4.77
3.00	1.00	13.24	13.16
3.00	2.00	-1.61	7.02
3.00	3.00	13.98	11.07
3.00	4.00	14.97	6.30
3.00	5.00	14.25	11.85
3.00	6.00	-1.21	3.66
3.00	11.00	9.57	0.54
3.00	8.00	-1.90	1.16
3.00	9.00	6.01	0.56
3.00	10.00	-2.05	4.72
4.00	1.00	12.64	12.95
4.00	2.00	-1.32	6.77
4.00	3.00	13.61	10.90
4.00	4.00	14.96	6.45
4.00	5.00	14.02	11.48
4.00	6.00	-0.76	3.93
4.00	11.00	9.15	0.78
4.00	8.00	-1.66	1.35
4.00	9.00	5.71	0.73
4.00	10.00	-1.90	4.68
5.00	1.00	12.05	12.74
5.00	2.00	-1.03	6.51
5.00	3.00	13.19	10.71
5.00	4.00	14.95	6.60
5.00	5.00	13.81	11.13
5.00	6.00	-0.32	4.20
5.00	11.00	8.72	1.03
5.00	8.00	-1.42	1.53
5.00	9.00	5.64	0.94
5.00	10.00	-1.76	4.64
6.00	1.00	11.53	12.51
6.00	2.00	-0.75	6.26
6.00	3.00	12.87	10.74
6.00	4.00	14.94	6.74
6.00	5.00	13.60	10.76
6.00	6.00	0.12	4.48
6.00	11.00	8.30	1.27
6.00	8.00	-1.18	1.72
6.00	9.00	5.66	1.14
6.00	10.00	-1.61	4.58
7.00	1.00	11.17	12.02
7.00	2.00	-0.46	6.00
7.00	3.00	12.64	11.10
7.00	4.00	14.93	6.89
7.00	5.00	13.45	10.39
7.00	6.00	0.56	4.76
7.00	11.00	7.87	1.51
7.00	8.00	-0.94	1.91
7.00	9.00	5.67	1.28
7.00	10.00	-1.46	4.53
8.00	1.00	10.65	11.67
8.00	2.00	-0.17	5.75
8.00	3.00	12.33	11.22
8.00	4.00	14.92	7.04
8.00	5.00	13.42	10.11
8.00	6.00	1.01	5.03
8.00	11.00	7.45	1.75
8.00	8.00	-0.70	2.10
8.00	9.00	5.68	1.38
8.00	10.00	-1.30	4.48
9.00	1.00	10.11	11.39
9.00	2.00	0.11	5.50
9.00	3.00	11.98	11.24
9.00	4.00	14.92	7.19
9.00	5.00	13.67	9.89
9.00	6.00	1.45	5.31
9.00	11.00	7.03	2.00
9.00	8.00	-0.46	2.29
9.00	9.00	5.70	1.47
9.00	10.00	-1.15	4.43
10.00	1.00	9.59	11.09
10.00	2.00	0.40	5.25
10.00	3.00	11.62	11.22
10.00	4.00	14.91	7.34
10.00	5.00	13.68	9.56
10.00	6.00	1.90	5.59
10.00	11.00	6.61	2.24
10.00	8.00	-0.21	2.47
10.00	9.00	5.71	1.55
10.00	10.00	-1.00	4.37
11.00	1.00	9.13	10.75
11.00	2.00	0.68	4.99
11.00	3.00	11.26	11.17
11.00	4.00	14.90	7.49
11.00	5.00	13.65	9.16
11.00	6.00	2.34	5.87
11.00	11.00	6.21	2.50
11.00	8.00	0.03	2.66
11.00	9.00	5.72	1.62
11.00	10.00	-0.85	4.32
12.00	1.00	8.74	10.32
12.00	2.00	0.97	4.74
12.00	3.00	10.91	11.09
12.00	4.00	14.89	7.64
12.00	5.00	13.55	8.72
12.00	6.00	2.78	6.16
12.00	11.00	5.82	2.78
12.00	8.00	0.27	2.85
12.00	9.00	5.73	1.69
12.00	10.00	-0.70	4.27
13.00	1.00	8.19	10.01
13.00	2.00	1.26	4.48
13.00	3.00	10.56	11.00
13.00	4.00	14.89	7.78
13.00	5.00	13.35	8.28
13.00	6.00	3.22	6.44
13.00	11.00	5.41	3.06
13.00	8.00	0.51	3.03
13.00	9.00	5.74	1.77
13.00	10.00	-0.55	4.22
14.00	1.00	7.58	9.82
